total_crashes,cyclist_injured,cyclist_killed,motorist_injured,motorist_killed,pedestrian_injured,pedestrian_killed,persons_injured,persons_killed,year_month,council
246,7,0,61,0,9,0,77,0,2017-04,45
286,2,0,58,0,6,0,66,0,2017-04,46
198,6,0,30,0,10,0,46,0,2017-04,47
247,2,0,48,0,14,0,64,0,2017-04,48
283,3,0,56,0,11,0,70,0,2017-04,49
301,1,0,59,0,9,0,69,0,2017-04,50
237,0,0,74,0,4,0,78,0,2017-04,51
506,16,0,40,1,33,0,89,1,2017-05,1
301,21,0,41,0,21,0,83,0,2017-05,2
747,24,0,33,0,59,2,116,2,2017-05,3
686,21,0,66,0,19,1,106,1,2017-05,4
242,11,0,32,0,11,0,54,0,2017-05,5
309,12,0,23,0,16,0,51,0,2017-05,6
191,6,0,31,0,9,0,46,0,2017-05,7
515,7,0,75,0,25,0,107,0,2017-05,8
256,5,0,47,0,17,0,69,0,2017-05,9
220,6,0,27,0,9,0,42,0,2017-05,10
271,2,0,38,0,13,0,53,0,2017-05,11
305,1,0,92,0,13,0,106,0,2017-05,12
373,2,0,82,0,10,0,94,0,2017-05,13
265,4,0,62,0,16,0,82,0,2017-05,14
341,1,0,86,0,23,0,110,0,2017-05,15
276,8,0,69,0,19,0,96,0,2017-05,16
431,12,0,99,0,17,0,128,0,2017-05,17
310,4,0,73,0,6,0,83,0,2017-05,18
446,3,0,86,0,9,0,98,0,2017-05,19
375,7,0,61,0,13,1,81,1,2017-05,20
321,10,0,64,0,17,0,91,0,2017-05,21
324,9,0,58,0,7,0,74,0,2017-05,22
356,3,0,98,0,2,0,103,0,2017-05,23
353,1,0,68,0,12,0,81,0,2017-05,24
207,4,0,24,0,14,0,42,0,2017-05,25
453,19,0,106,0,15,0,140,0,2017-05,26
392,2,0,124,0,23,0,149,0,2017-05,27
452,7,0,120,0,16,0,143,0,2017-05,28
343,3,0,66,1,4,1,73,2,2017-05,29
362,7,0,65,0,11,0,83,0,2017-05,30
424,1,0,124,0,19,0,144,0,2017-05,31
269,6,0,58,0,9,0,73,0,2017-05,32
556,25,0,69,0,31,0,125,0,2017-05,33
421,24,0,72,0,14,0,110,0,2017-05,34
330,12,0,43,0,24,0,79,0,2017-05,35
273,6,0,78,0,17,0,101,0,2017-05,36
332,10,0,77,0,20,0,107,0,2017-05,37
411,12,0,77,0,16,0,105,0,2017-05,38
411,18,0,56,0,13,0,87,0,2017-05,39
235,5,0,61,0,13,0,79,0,2017-05,40
310,5,0,82,0,15,0,102,0,2017-05,41
368,7,0,122,0,26,0,155,0,2017-05,42
290,6,0,36,0,12,0,54,0,2017-05,43
240,9,0,27,0,28,0,64,0,2017-05,44
304,6,0,73,0,15,0,94,0,2017-05,45
300,2,0,63,0,10,0,75,0,2017-05,46
237,5,0,38,0,20,0,63,0,2017-05,47
288,5,0,44,0,11,0,60,0,2017-05,48
309,3,0,64,0,14,0,81,0,2017-05,49
377,2,0,69,0,9,0,80,0,2017-05,50
246,2,0,66,0,4,0,72,0,2017-05,51
473,20,0,65,0,22,0,107,0,2017-06,1
280,18,0,27,0,19,0,64,0,2017-06,2
631,20,2,41,0,27,0,88,2,2017-06,3
692,23,0,64,0,31,0,118,0,2017-06,4
211,6,0,15,0,6,0,27,0,2017-06,5
287,15,1,37,0,10,0,62,1,2017-06,6
192,7,0,24,0,11,0,42,0,2017-06,7
507,4,0,104,0,21,1,129,1,2017-06,8
316,13,0,22,0,18,0,53,0,2017-06,9
234,4,0,39,0,9,0,52,0,2017-06,10
289,3,0,74,0,11,0,88,0,2017-06,11
280,3,0,91,0,14,0,108,0,2017-06,12
